Date,Expiry,Strike Price,Option Type,Last Price,spot_price,moneyness,IV,implied_volatility,time_to_expiry,delta,Open Interest,Change in OI
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,2765.00,,,,0.2,0.0,0.0,,13
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,195,PE,-181.35,,,354.05,3.5405,0.0,0.0,-1574,44393
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,195,CE,7.65,,,18.53,0.18530000000000002,0.0,0.0,,63943
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,195,PE,-183.40,,,400.7,4.007,0.0,0.0,-150,4642
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,975,CE,6.50,,,19.69,0.19690000000000002,0.0,0.0,,99977
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,975,PE,-181.60,,,450.7,4.507,0.0,0.0,-370,12444
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,260,CE,5.60,,,20.84,0.2084,0.0,0.0,,44123
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,260,PE,-183.25,,,498.6,4.986000000000001,0.0,0.0,-122,1276
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1495,CE,5.10,,,22.16,0.2216,0.0,0.0,,78491
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1495,PE,-179.05,,,549.0,5.49,0.0,0.0,-187,2715
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,195,CE,9.00,,,17.3,0.17300000000000001,0.0,0.0,,114498
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,845,CE,4.45,,,23.25,0.2325,0.0,0.0,,32052
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1105,CE,4.10,,,24.52,0.2452,0.0,0.0,,139525
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1105,PE,-178.90,,,649.3,6.492999999999999,0.0,0.0,-1285,7243
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1885,CE,3.75,,,25.72,0.2572,0.0,0.0,,28190
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1885,PE,-182.20,,,698.5,6.985,0.0,0.0,50,368
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1755,CE,3.50,,,26.96,0.2696,0.0,0.0,,114353
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1755,PE,-173.80,,,746.1,7.461,0.0,0.0,-75,302
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,2015,CE,3.00,,,27.81,0.2781,0.0,0.0,,28187
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,2015,PE,-186.80,,,793.0,7.93,0.0,0.0,-2,18
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,2080,CE,2.90,,,29.14,0.2914,0.0,0.0,,80898
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,845,PE,-180.65,,,599.9,5.999,0.0,0.0,-83,243
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,260,PE,-179.60,,,305.3,3.053,0.0,0.0,100,20376
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,260,CE,10.85,,,16.07,0.1607,0.0,0.0,,51188
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,780,PE,-180.65,,,257.1,2.571,0.0,0.0,2007,158520
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,270.95,,,,0.2,0.0,0.0,,21505
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,-54.20,,,16.3,0.163,0.0,0.0,-24636,2580081
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,260,CE,223.95,,,,0.2,0.0,0.0,,16723
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,260,PE,-71.75,,,18.65,0.1865,0.0,0.0,25560,2174616
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,325,CE,178.00,,,8.76,0.0876,0.0,0.0,,43491
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,325,PE,-91.20,,,23.5,0.235,0.0,0.0,80883,4495585
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,390,CE,136.85,,,9.84,0.0984,0.0,0.0,,26900
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,390,PE,-112.60,,,31.45,0.3145,0.0,0.0,82956,4176631
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,715,CE,100.35,,,10.27,0.1027,0.0,0.0,,119324
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,715,PE,-132.60,,,45.05,0.45049999999999996,0.0,0.0,161111,9540533
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,585,CE,71.45,,,10.83,0.10830000000000001,0.0,0.0,,114380
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,585,PE,-149.45,,,65.4,0.654,0.0,0.0,105890,6559600
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,260,CE,48.60,,,11.2,0.11199999999999999,0.0,0.0,,176708
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,260,PE,-163.20,,,92.6,0.9259999999999999,0.0,0.0,53100,4577008
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,780,CE,33.55,,,11.91,0.1191,0.0,0.0,,118030
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,780,PE,-170.70,,,128.0,1.28,0.0,0.0,13876,1121411
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,455,CE,24.30,,,12.9,0.129,0.0,0.0,,295180
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,455,PE,-176.05,,,168.2,1.682,0.0,0.0,11031,1349083
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1300,CE,17.75,,,13.84,0.1384,0.0,0.0,,78205
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1300,PE,-178.60,,,212.4,2.124,0.0,0.0,816,177402
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,780,CE,13.50,,,14.88,0.14880000000000002,0.0,0.0,,115224
