CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,13,-,3,-,"2,765.00",245.00,65,"2,706.40","2,770.05",65,"23,100.00","3,185",2.10,2.25,520,0.15,2.10,86.12,"3,03,003","2,043","1,01,083",
,2,-,-,-,"2,326.25",-,130,"2,638.25","2,765.35",390,"23,150.00",780,2.15,2.40,585,0.15,2.15,84.88,"50,272","1,321","7,489",
,3,-,2,-,"2,615.00",190.00,130,"2,650.20","2,710.80",65,"23,200.00","4,355",2.35,2.45,"1,820",0.30,2.40,84.48,"1,21,156","16,374","29,082",
,1,-,-,-,"2,538.55",-,390,"2,549.40","2,627.60",65,"23,250.00","1,625",2.45,2.60,130,0.20,2.35,82.79,"41,192",-513,"3,464",
,8,-3,5,-,"2,547.00",232.10,65,"2,550.80","2,614.40",65,"23,300.00","1,885",2.55,2.65,"1,820",0.45,2.60,82.29,"1,13,788","5,082","24,635",
,4,-,-,-,"2,377.50",-,390,"2,446.35","2,567.20",65,"23,350.00","1,300",2.55,2.70,"1,300",0.60,2.95,82.03,"43,701","-1,607","1,967",
,7,-3,7,-,"2,465.00",245.00,65,"2,408.65","2,469.60",65,"23,400.00","1,495",2.65,2.75,"1,755",0.20,2.60,79.30,"1,27,878","3,319","20,100",
,3,-,-,-,"2,302.25",-2.75,390,"2,358.65","2,465.35",65,"23,450.00","1,170",2.65,2.70,260,0.25,2.65,77.98,"47,815",-480,"2,533",
,207,-110,164,-,"2,356.00",182.80,65,"2,353.00","2,366.10",65,"23,500.00","1,235",2.70,2.85,650,0.25,2.70,76.66,"3,14,817","-32,235","54,850",
,3,-,-,-,"2,220.90",3.15,390,"2,260.10","2,331.85",65,"23,550.00","3,120",2.70,2.80,65,0.30,2.85,75.66,"38,796",-507,"3,756",
,6,-6,7,-,"2,265.00",240.00,65,"2,250.55","2,266.40",65,"23,600.00",910,2.90,3.05,130,0.25,2.90,74.31,"65,833","-4,421","6,270",
,2,-1,2,-,"2,166.75",197.70,65,"2,197.15","2,225.95",65,"23,650.00","2,080",2.90,2.95,65,0.20,2.95,72.96,"53,724","-2,455","3,169",
,7,-1,5,-,"2,164.90",244.90,65,"2,150.95","2,161.45",65,"23,700.00",975,3.00,3.05,715,0.20,3.00,71.60,"91,602","-8,992","12,419",
,130,-,-,-,"1,894.60",-,65,"2,088.50","2,121.95",65,"23,750.00","3,835",3.00,3.10,65,0.10,3.05,70.23,"72,281","-2,448","4,485",
,16,-8,10,-,"2,060.00",235.00,65,"2,051.50","2,067.30",780,"23,800.00","1,170",3.05,3.30,"1,755",-,3.05,68.72,"1,84,012","-16,205","31,607",
,3,-,2,-,"2,023.60",254.25,65,"2,001.90","2,016.65",65,"23,850.00",65,3.15,3.35,"2,730",-0.10,3.10,67.34,"94,568",349,"5,092",
,6,-5,7,-,"1,963.00",227.00,65,"1,950.80","1,966.50",780,"23,900.00","3,445",3.15,3.30,260,-0.20,3.15,65.96,"1,36,711","-2,600","19,759",
,2,-,1,74.96,"1,932.85",111.10,65,"1,901.85","1,919.10",65,"23,950.00","8,320",3.35,3.40,65,-0.10,3.40,65.08,"63,502","-1,884","5,244",
,387,"-1,178","1,271",-,"1,860.00",186.55,65,"1,854.05","1,861.70",65,"24,000.00","31,265",3.45,3.60,"16,965",-0.15,3.55,63.91,"7,61,922","-9,937","1,53,523",
,6,-,-,-,"1,708.20",-,65,"1,792.85","1,821.75",65,"24,050.00","1,170",3.45,3.55,65,-0.25,3.60,62.49,"73,531",-140,"5,735",
,59,-80,85,-,"1,755.00",215.00,65,"1,753.80","1,761.55",65,"24,100.00","1,170",3.65,3.75,"1,235",-0.35,3.80,61.39,"1,93,117","5,791","29,330",
,3,-,-,-,"1,424.50",-,390,"1,661.30","1,733.65",65,"24,150.00","3,250",3.70,3.80,260,-0.55,3.75,59.72,"86,573",813,"7,594",
,48,13,47,-,"1,657.60",195.65,65,"1,654.20","1,664.75",65,"24,200.00","1,235",3.85,3.95,260,-0.55,3.85,58.38,"2,74,721","6,351","50,167",
,53,-,-,-,"1,370.25",-,65,"1,598.90","1,622.30",65,"24,250.00","1,495",3.85,3.95,650,-0.85,3.95,57.02,"1,06,395",-230,"10,494",
,396,259,335,-,"1,565.40",185.00,65,"1,551.65","1,564.35",260,"24,300.00","1,235",4.05,4.15,"1,365",-0.90,4.05,55.65,"2,86,218","-4,195","40,665",
,72,-1,1,-,"1,510.00",276.90,65,"1,503.80","1,518.50",130,"24,350.00","1,170",4.20,4.30,"3,445",-1.00,4.30,54.54,"1,19,614",979,"8,860",
,537,318,436,-,"1,461.45",183.05,65,"1,454.40","1,467.65",325,"24,400.00","1,300",4.20,4.40,"4,485",-1.30,4.20,52.77,"3,09,441","5,158","46,231",
,127,-,-,-,"1,206.05",-,325,"1,362.35","1,422.85",65,"24,450.00","1,690",4.35,4.50,65,-1.45,4.45,51.63,"2,08,547","10,788","18,836",
,"2,296",-414,767,-,"1,364.65",182.45,195,"1,357.85","1,368.85",325,"24,500.00",195,4.60,4.75,975,-1.55,4.75,50.52,"10,23,915","25,860","1,54,377",
,249,-11,16,-,"1,305.00",173.35,130,"1,304.00","1,319.75",65,"24,550.00","1,495",4.75,4.90,65,-1.85,4.85,49.06,"2,36,204","1,604","16,182",
,"1,273",85,591,-,"1,259.85",179.50,195,"1,256.55","1,263.20",65,"24,600.00",260,4.95,5.15,650,-2.15,4.95,47.59,"4,55,099","16,858","57,808",
,424,-7,43,46.99,"1,229.75",192.25,130,"1,207.25","1,213.55",65,"24,650.00",325,5.20,5.40,"1,235",-2.25,5.30,46.45,"1,16,367",272,"13,129",
,927,-320,556,-,"1,165.10",181.40,65,"1,159.05","1,162.30",65,"24,700.00",260,5.50,5.75,"3,510",-2.40,5.70,45.33,"5,15,461","3,490","58,127",
,668,-85,127,-,"1,113.00",182.95,130,"1,108.60","1,113.70",65,"24,750.00","1,950",5.90,6.10,390,-2.60,5.95,43.98,"2,91,040","4,851","25,117",
,"2,671","-1,675","3,711",-,"1,062.35",175.90,65,"1,059.10","1,062.85",325,"24,800.00","3,445",6.00,6.30,"3,445",-3.10,6.00,42.35,"7,74,468","9,275","72,439",
,558,-57,243,-,"1,012.20",177.80,260,"1,009.30","1,013.40",130,"24,850.00","3,575",6.40,6.60,260,-3.00,6.60,41.33,"4,30,732",649,"25,106",
,"3,594","-2,744","4,527",-,960.85,176.90,65,959.50,962.75,65,"24,900.00","1,105",6.75,6.85,130,-3.35,6.75,39.78,"6,87,028","13,696","62,255",
,701,-70,161,-,912.00,179.00,260,910.15,913.05,195,"24,950.00",195,7.10,7.15,"1,040",-3.75,7.10,38.39,"3,94,610",976,"24,961",
,"9,791","-2,948","9,191",-,862.00,175.40,260,860.05,863.10,260,"25,000.00",910,7.35,7.40,65,-4.00,7.50,37.02,"15,32,023","20,682","1,76,970",
,"1,167",-63,734,-,812.40,176.75,325,811.45,814.15,130,"25,050.00","2,210",7.70,7.85,780,-4.55,7.75,35.46,"4,78,881","-1,564","28,624",
