Strike Price,Option Type,Last Price,IV,Open Interest,Change in OI,Date,Expiry
23100.0,CE,2765.0,0.0,13,0,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23100.0,PE,2.1,86.12,101083,2043,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23150.0,CE,2326.25,0.0,2,0,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23150.0,PE,2.15,84.88,7489,1321,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23200.0,CE,2615.0,0.0,3,0,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23200.0,PE,2.4,84.48,29082,16374,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23250.0,CE,2538.55,0.0,1,0,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23250.0,PE,2.35,82.79,3464,-513,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23300.0,CE,2547.0,0.0,8,-3,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23300.0,PE,2.6,82.29,24635,5082,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23350.0,CE,2377.5,0.0,4,0,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23350.0,PE,2.95,82.03,1967,-1607,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23400.0,CE,2465.0,0.0,7,-3,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23400.0,PE,2.6,79.3,20100,3319,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23450.0,CE,2302.25,0.0,3,0,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23450.0,PE,2.65,77.98,2533,-480,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23500.0,CE,2356.0,0.0,207,-110,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23500.0,PE,2.7,76.66,54850,-32235,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23550.0,CE,2220.9,0.0,3,0,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23550.0,PE,2.85,75.66,3756,-507,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23600.0,CE,2265.0,0.0,6,-6,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23600.0,PE,2.9,74.31,6270,-4421,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23650.0,CE,2166.75,0.0,2,-1,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23650.0,PE,2.95,72.96,3169,-2455,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23700.0,CE,2164.9,0.0,7,-1,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23700.0,PE,3.0,71.6,12419,-8992,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23750.0,CE,1894.6,0.0,130,0,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23750.0,PE,3.05,70.23,4485,-2448,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23800.0,CE,2060.0,0.0,16,-8,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23800.0,PE,3.05,68.72,31607,-16205,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23850.0,CE,2023.6,0.0,3,0,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23850.0,PE,3.1,67.34,5092,349,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23900.0,CE,1963.0,0.0,6,-5,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23900.0,PE,3.15,65.96,19759,-2600,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23950.0,CE,1932.85,74.96,2,0,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
23950.0,PE,3.4,65.08,5244,-1884,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
24000.0,CE,1860.0,0.0,387,-1178,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
24000.0,PE,3.55,63.91,153523,-9937,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
